391,2000,2596.55, Manoel Silva
391,2880,20000.0, Manoela Lima
391,4314,4985.55, Amandinha
391,4315,0985.55, Bruno
391,3310,1000.55, Amaralo
391,2350,1000.0, Julio
391,2555,1000.0, Doniran
392,3055,1000.0, Daniel
592,222,2569.30, Bianca
391,2005,1002.0, Eduardo
191,9555,900.0, Denis
391,2550,9000.0, Denio
380,2225,1800.0, Vanessa
391,2440,1000.0, Manoela
391,2470,15000.0, Mariana
391,2000,2596.55, Manoel
391,2880,20000.0, Manoela
391,2000,2596.55, Manoel
391,2880,20000.0, Manoela
391,4314,4985.55, Amandinha
391,4315,0985.55, Bruno
391,3310,1000.55, Amaralo
391,2350,1000.0, Julio
391,2555,1000.0, Doniran
392,3055,1000.0, Daniel
592,222,2569.30, Bianca
391,2005,1002.0, Eduardo
191,9555,900.0, Denis
391,2550,9000.0, Denio
380,2225,1800.0, Vanessa
391,2440,1000.0, Manoela
391,2470,15000.0, Mariana
391,2000,2596.55, Manoel
391,2880,20000.0, Manoela
